StudyInstanceUID,Slice,ImageHeight,ImageWidth,SliceThickness,ImagePositionPatient_x,ImagePositionPatient_y,ImagePositionPatient_z,C1,C2,C3,C4,C5,C6,C7,SliceRatio
1.2.826.0.1.3680043.10633,41,512,512,1.0,-68.0,98.0,294.099976,0,0,0,0,0,0,0,0.09557109557109557
1.2.826.0.1.3680043.10633,42,512,512,1.0,-68.0,98.0,293.599976,0,0,0,0,0,0,0,0.0979020979020979
1.2.826.0.1.3680043.10633,43,512,512,1.0,-68.0,98.0,293.099976,0,0,0,0,0,0,0,0.10023310023310024
1.2.826.0.1.3680043.10633,44,512,512,1.0,-68.0,98.0,292.599976,0,0,0,0,0,0,0,0.10256410256410256
1.2.826.0.1.3680043.10633,45,512,512,1.0,-68.0,98.0,292.099976,0,0,0,0,0,0,0,0.1048951048951049
1.2.826.0.1.3680043.10633,46,512,512,1.0,-68.0,98.0,291.599976,0,0,0,0,0,0,0,0.10722610722610723
1.2.826.0.1.3680043.10633,47,512,512,1.0,-68.0,98.0,291.099976,0,0,0,0,0,0,0,0.10955710955710955
1.2.826.0.1.3680043.10633,48,512,512,1.0,-68.0,98.0,290.599976,0,0,0,0,0,0,0,0.11188811188811189
1.2.826.0.1.3680043.10633,49,512,512,1.0,-68.0,98.0,290.099976,0,0,0,0,0,0,0,0.11421911421911422
1.2.826.0.1.3680043.10633,50,512,512,1.0,-68.0,98.0,289.599976,0,0,0,0,0,0,0,0.11655011655011654
1.2.826.0.1.3680043.10633,51,512,512,1.0,-68.0,98.0,289.099976,0,0,0,0,0,0,0,0.11888111888111888
1.2.826.0.1.3680043.10633,52,512,512,1.0,-68.0,98.0,288.599976,0,0,0,0,0,0,0,0.12121212121212122
1.2.826.0.1.3680043.10633,53,512,512,1.0,-68.0,98.0,288.099976,0,0,0,0,0,0,0,0.12354312354312354
1.2.826.0.1.3680043.10633,54,512,512,1.0,-68.0,98.0,287.599976,0,0,0,0,0,0,0,0.1258741258741259
1.2.826.0.1.3680043.10633,55,512,512,1.0,-68.0,98.0,287.099976,0,0,0,0,0,0,0,0.1282051282051282
1.2.826.0.1.3680043.10633,56,512,512,1.0,-68.0,98.0,286.599976,0,0,0,0,0,0,0,0.13053613053613053
1.2.826.0.1.3680043.10633,57,512,512,1.0,-68.0,98.0,286.099976,0,0,0,0,0,0,0,0.13286713286713286
1.2.826.0.1.3680043.10633,58,512,512,1.0,-68.0,98.0,285.599976,0,0,0,0,0,0,0,0.1351981351981352
1.2.826.0.1.3680043.10633,59,512,512,1.0,-68.0,98.0,285.099976,0,0,0,0,0,0,0,0.13752913752913754
1.2.826.0.1.3680043.10633,60,512,512,1.0,-68.0,98.0,284.599976,0,0,0,0,0,0,0,0.13986013986013987
1.2.826.0.1.3680043.10633,61,512,512,1.0,-68.0,98.0,284.099976,0,0,0,0,0,0,0,0.14219114219114218
1.2.826.0.1.3680043.10633,62,512,512,1.0,-68.0,98.0,283.599976,0,0,0,0,0,0,0,0.1445221445221445
1.2.826.0.1.3680043.10633,63,512,512,1.0,-68.0,98.0,283.099976,0,0,0,0,0,0,0,0.14685314685314685
1.2.826.0.1.3680043.10633,64,512,512,1.0,-68.0,98.0,282.599976,0,0,0,0,0,0,0,0.14918414918414918
1.2.826.0.1.3680043.10633,65,512,512,1.0,-68.0,98.0,282.099976,0,0,0,0,0,0,0,0.15151515151515152
1.2.826.0.1.3680043.10633,66,512,512,1.0,-68.0,98.0,281.599976,0,0,0,0,0,0,0,0.15384615384615385
1.2.826.0.1.3680043.10633,67,512,512,1.0,-68.0,98.0,281.099976,0,0,0,0,0,0,0,0.1561771561771562
1.2.826.0.1.3680043.10633,68,512,512,1.0,-68.0,98.0,280.599976,0,0,0,0,0,0,0,0.1585081585081585
1.2.826.0.1.3680043.10633,69,512,512,1.0,-68.0,98.0,280.099976,0,0,0,0,0,0,0,0.16083916083916083
1.2.826.0.1.3680043.10633,70,512,512,1.0,-68.0,98.0,279.599976,0,0,0,0,0,0,0,0.16317016317016317
1.2.826.0.1.3680043.10633,71,512,512,1.0,-68.0,98.0,279.099976,0,0,0,0,0,0,0,0.1655011655011655
1.2.826.0.1.3680043.10633,72,512,512,1.0,-68.0,98.0,278.599976,0,0,0,0,0,0,0,0.16783216783216784
1.2.826.0.1.3680043.10633,73,512,512,1.0,-68.0,98.0,278.099976,0,0,0,0,0,0,0,0.17016317016317017
1.2.826.0.1.3680043.10633,74,512,512,1.0,-68.0,98.0,277.599976,0,0,0,0,0,0,0,0.17249417249417248
1.2.826.0.1.3680043.10633,75,512,512,1.0,-68.0,98.0,277.099976,0,0,0,0,0,0,0,0.17482517482517482
1.2.826.0.1.3680043.10633,76,512,512,1.0,-68.0,98.0,276.599976,0,0,0,0,0,0,0,0.17715617715617715
1.2.826.0.1.3680043.10633,77,512,512,1.0,-68.0,98.0,276.099976,0,0,0,0,0,0,0,0.1794871794871795
1.2.826.0.1.3680043.10633,78,512,512,1.0,-68.0,98.0,275.599976,0,0,0,0,0,0,0,0.18181818181818182
1.2.826.0.1.3680043.10633,79,512,512,1.0,-68.0,98.0,275.099976,0,0,0,0,0,0,0,0.18414918414918416
1.2.826.0.1.3680043.10633,80,512,512,1.0,-68.0,98.0,274.599976,0,0,0,0,0,0,0,0.1864801864801865
1.2.826.0.1.3680043.10633,81,512,512,1.0,-68.0,98.0,274.099976,0,0,0,0,0,0,0,0.1888111888111888
1.2.826.0.1.3680043.10633,82,512,512,1.0,-68.0,98.0,273.599976,0,0,0,0,0,0,0,0.19114219114219114
1.2.826.0.1.3680043.10633,83,512,512,1.0,-68.0,98.0,273.099976,0,0,0,0,0,0,0,0.19347319347319347
1.2.826.0.1.3680043.10633,84,512,512,1.0,-68.0,98.0,272.599976,0,0,0,0,0,0,0,0.1958041958041958
1.2.826.0.1.3680043.10633,85,512,512,1.0,-68.0,98.0,272.099976,0,0,0,0,0,0,0,0.19813519813519814
1.2.826.0.1.3680043.10633,86,512,512,1.0,-68.0,98.0,271.599976,0,0,0,0,0,0,0,0.20046620046620048
1.2.826.0.1.3680043.10633,87,512,512,1.0,-68.0,98.0,271.099976,0,0,0,0,0,0,0,0.20279720279720279
1.2.826.0.1.3680043.10633,88,512,512,1.0,-68.0,98.0,270.599976,0,0,0,0,0,0,0,0.20512820512820512
1.2.826.0.1.3680043.10633,89,512,512,1.0,-68.0,98.0,270.099976,0,0,0,0,0,0,0,0.20745920745920746
1.2.826.0.1.3680043.10633,90,512,512,1.0,-68.0,98.0,269.599976,0,0,0,0,0,0,0,0.2097902097902098
1.2.826.0.1.3680043.10633,91,512,512,1.0,-68.0,98.0,269.099976,0,0,0,0,0,0,0,0.21212121212121213
1.2.826.0.1.3680043.10633,92,512,512,1.0,-68.0,98.0,268.599976,0,0,0,0,0,0,0,0.21445221445221446
1.2.826.0.1.3680043.10633,93,512,512,1.0,-68.0,98.0,268.099976,0,0,0,0,0,0,0,0.21678321678321677
1.2.826.0.1.3680043.10633,94,512,512,1.0,-68.0,98.0,267.599976,0,0,0,0,0,0,0,0.2191142191142191
1.2.826.0.1.3680043.10633,95,512,512,1.0,-68.0,98.0,267.099976,0,0,0,0,0,0,0,0.22144522144522144
1.2.826.0.1.3680043.10633,96,512,512,1.0,-68.0,98.0,266.599976,0,0,0,0,0,0,0,0.22377622377622378
1.2.826.0.1.3680043.10633,97,512,512,1.0,-68.0,98.0,266.099976,0,0,0,0,0,0,0,0.2261072261072261
1.2.826.0.1.3680043.10633,98,512,512,1.0,-68.0,98.0,265.599976,0,0,0,0,0,0,0,0.22843822843822845
1.2.826.0.1.3680043.10633,99,512,512,1.0,-68.0,98.0,265.099976,0,0,0,0,0,0,0,0.23076923076923078
1.2.826.0.1.3680043.10633,100,512,512,1.0,-68.0,98.0,264.599976,0,0,0,0,0,0,0,0.2331002331002331
1.2.826.0.1.3680043.10633,101,512,512,1.0,-68.0,98.0,264.099976,0,0,0,0,0,0,0,0.23543123543123542
1.2.826.0.1.3680043.10633,102,512,512,1.0,-68.0,98.0,263.599976,0,0,0,0,0,0,0,0.23776223776223776
1.2.826.0.1.3680043.10633,103,512,512,1.0,-68.0,98.0,263.099976,0,0,0,0,0,0,0,0.2400932400932401
1.2.826.0.1.3680043.10633,104,512,512,1.0,-68.0,98.0,262.599976,0,0,0,0,0,0,0,0.24242424242424243
1.2.826.0.1.3680043.10633,105,512,512,1.0,-68.0,98.0,262.099976,0,0,0,0,0,0,0,0.24475524475524477
1.2.826.0.1.3680043.10633,106,512,512,1.0,-68.0,98.0,261.599976,0,0,0,0,0,0,0,0.24708624708624707
1.2.826.0.1.3680043.10633,107,512,512,1.0,-68.0,98.0,261.099976,0,0,0,0,0,0,0,0.2494172494172494
1.2.826.0.1.3680043.10633,108,512,512,1.0,-68.0,98.0,260.599976,0,0,0,0,0,0,0,0.2517482517482518
1.2.826.0.1.3680043.10633,109,512,512,1.0,-68.0,98.0,260.099976,0,0,0,0,0,0,0,0.2540792540792541
1.2.826.0.1.3680043.10633,110,512,512,1.0,-68.0,98.0,259.599976,0,0,0,0,0,0,0,0.2564102564102564
1.2.826.0.1.3680043.10633,111,512,512,1.0,-68.0,98.0,259.099976,0,0,0,0,0,0,0,0.25874125874125875
1.2.826.0.1.3680043.10633,112,512,512,1.0,-68.0,98.0,258.599976,1,0,0,0,0,0,0,0.26107226107226106
1.2.826.0.1.3680043.10633,113,512,512,1.0,-68.0,98.0,258.099976,1,0,0,0,0,0,0,0.2634032634032634
1.2.826.0.1.3680043.10633,114,512,512,1.0,-68.0,98.0,257.599976,1,0,0,0,0,0,0,0.26573426573426573
1.2.826.0.1.3680043.10633,115,512,512,1.0,-68.0,98.0,257.099976,1,0,0,0,0,0,0,0.2680652680652681
1.2.826.0.1.3680043.10633,116,512,512,1.0,-68.0,98.0,256.599976,1,0,0,0,0,0,0,0.2703962703962704
1.2.826.0.1.3680043.10633,117,512,512,1.0,-68.0,98.0,256.099976,1,0,0,0,0,0,0,0.2727272727272727
1.2.826.0.1.3680043.10633,118,512,512,1.0,-68.0,98.0,255.599976,1,0,0,0,0,0,0,0.27505827505827507
1.2.826.0.1.3680043.10633,119,512,512,1.0,-68.0,98.0,255.099976,1,0,0,0,0,0,0,0.2773892773892774
1.2.826.0.1.3680043.10633,120,512,512,1.0,-68.0,98.0,254.599976,1,0,0,0,0,0,0,0.27972027972027974
1.2.826.0.1.3680043.10633,121,512,512,1.0,-68.0,98.0,254.099976,1,0,0,0,0,0,0,0.28205128205128205
1.2.826.0.1.3680043.10633,122,512,512,1.0,-68.0,98.0,253.599976,1,0,0,0,0,0,0,0.28438228438228436
1.2.826.0.1.3680043.10633,123,512,512,1.0,-68.0,98.0,253.099976,1,0,0,0,0,0,0,0.2867132867132867
1.2.826.0.1.3680043.10633,124,512,512,1.0,-68.0,98.0,252.599976,1,0,0,0,0,0,0,0.289044289044289
1.2.826.0.1.3680043.10633,125,512,512,1.0,-68.0,98.0,252.099976,1,0,0,0,0,0,0,0.2913752913752914
1.2.826.0.1.3680043.10633,126,512,512,1.0,-68.0,98.0,251.599976,1,0,0,0,0,0,0,0.2937062937062937
1.2.826.0.1.3680043.10633,127,512,512,1.0,-68.0,98.0,251.099976,1,0,0,0,0,0,0,0.29603729603729606
1.2.826.0.1.3680043.10633,128,512,512,1.0,-68.0,98.0,250.599976,1,0,0,0,0,0,0,0.29836829836829837
1.2.826.0.1.3680043.10633,129,512,512,1.0,-68.0,98.0,250.099976,1,0,0,0,0,0,0,0.3006993006993007
1.2.826.0.1.3680043.10633,130,512,512,1.0,-68.0,98.0,249.599976,1,1,0,0,0,0,0,0.30303030303030304
1.2.826.0.1.3680043.10633,131,512,512,1.0,-68.0,98.0,249.099976,1,1,0,0,0,0,0,0.30536130536130535
1.2.826.0.1.3680043.10633,132,512,512,1.0,-68.0,98.0,248.599976,1,1,0,0,0,0,0,0.3076923076923077
1.2.826.0.1.3680043.10633,133,512,512,1.0,-68.0,98.0,248.099976,1,1,0,0,0,0,0,0.31002331002331
1.2.826.0.1.3680043.10633,134,512,512,1.0,-68.0,98.0,247.599976,1,1,0,0,0,0,0,0.3123543123543124
1.2.826.0.1.3680043.10633,135,512,512,1.0,-68.0,98.0,247.099976,1,1,0,0,0,0,0,0.3146853146853147
1.2.826.0.1.3680043.10633,136,512,512,1.0,-68.0,98.0,246.599976,1,1,0,0,0,0,0,0.317016317016317
1.2.826.0.1.3680043.10633,137,512,512,1.0,-68.0,98.0,246.099976,1,1,0,0,0,0,0,0.31934731934731936
1.2.826.0.1.3680043.10633,138,512,512,1.0,-68.0,98.0,245.599976,1,1,0,0,0,0,0,0.32167832167832167
1.2.826.0.1.3680043.10633,139,512,512,1.0,-68.0,98.0,245.099976,1,1,0,0,0,0,0,0.32400932400932403
1.2.826.0.1.3680043.10633,140,512,512,1.0,-68.0,98.0,244.599976,1,1,0,0,0,0,0,0.32634032634032634
1.2.826.0.1.3680043.10633,141,512,512,1.0,-68.0,98.0,244.099976,1,1,0,0,0,0,0,0.32867132867132864
1.2.826.0.1.3680043.10633,142,512,512,1.0,-68.0,98.0,243.599976,1,1,0,0,0,0,0,0.331002331002331
1.2.826.0.1.3680043.10633,143,512,512,1.0,-68.0,98.0,243.099976,1,1,0,0,0,0,0,0.3333333333333333
1.2.826.0.1.3680043.10633,144,512,512,1.0,-68.0,98.0,242.599976,1,1,0,0,0,0,0,0.3356643356643357
1.2.826.0.1.3680043.10633,145,512,512,1.0,-68.0,98.0,242.099976,1,1,0,0,0,0,0,0.337995337995338
1.2.826.0.1.3680043.10633,146,512,512,1.0,-68.0,98.0,241.599976,1,1,0,0,0,0,0,0.34032634032634035
1.2.826.0.1.3680043.10633,147,512,512,1.0,-68.0,98.0,241.099976,1,1,0,0,0,0,0,0.34265734265734266
1.2.826.0.1.3680043.10633,148,512,512,1.0,-68.0,98.0,240.599976,1,1,0,0,0,0,0,0.34498834498834496
1.2.826.0.1.3680043.10633,149,512,512,1.0,-68.0,98.0,240.099976,1,1,0,0,0,0,0,0.3473193473193473
1.2.826.0.1.3680043.10633,150,512,512,1.0,-68.0,98.0,239.599976,1,1,0,0,0,0,0,0.34965034965034963
1.2.826.0.1.3680043.10633,151,512,512,1.0,-68.0,98.0,239.099976,1,1,0,0,0,0,0,0.351981351981352
1.2.826.0.1.3680043.10633,152,512,512,1.0,-68.0,98.0,238.599976,1,1,0,0,0,0,0,0.3543123543123543
1.2.826.0.1.3680043.10633,153,512,512,1.0,-68.0,98.0,238.099976,1,1,0,0,0,0,0,0.35664335664335667
1.2.826.0.1.3680043.10633,154,512,512,1.0,-68.0,98.0,237.599976,1,1,0,0,0,0,0,0.358974358974359
1.2.826.0.1.3680043.10633,155,512,512,1.0,-68.0,98.0,237.099976,1,1,0,0,0,0,0,0.3613053613053613
1.2.826.0.1.3680043.10633,156,512,512,1.0,-68.0,98.0,236.599976,1,1,0,0,0,0,0,0.36363636363636365
1.2.826.0.1.3680043.10633,157,512,512,1.0,-68.0,98.0,236.099976,1,1,0,0,0,0,0,0.36596736596736595
1.2.826.0.1.3680043.10633,158,512,512,1.0,-68.0,98.0,235.599976,1,1,0,0,0,0,0,0.3682983682983683
1.2.826.0.1.3680043.10633,159,512,512,1.0,-68.0,98.0,235.099976,1,1,0,0,0,0,0,0.3706293706293706
1.2.826.0.1.3680043.10633,160,512,512,1.0,-68.0,98.0,234.599976,1,1,0,0,0,0,0,0.372960372960373
1.2.826.0.1.3680043.10633,161,512,512,1.0,-68.0,98.0,234.099976,1,1,0,0,0,0,0,0.3752913752913753
1.2.826.0.1.3680043.10633,162,512,512,1.0,-68.0,98.0,233.599976,1,1,0,0,0,0,0,0.3776223776223776
1.2.826.0.1.3680043.10633,163,512,512,1.0,-68.0,98.0,233.099976,1,1,0,0,0,0,0,0.37995337995337997
1.2.826.0.1.3680043.10633,164,512,512,1.0,-68.0,98.0,232.599976,1,1,0,0,0,0,0,0.3822843822843823
1.2.826.0.1.3680043.10633,165,512,512,1.0,-68.0,98.0,232.099976,1,1,0,0,0,0,0,0.38461538461538464
1.2.826.0.1.3680043.10633,166,512,512,1.0,-68.0,98.0,231.599976,1,1,0,0,0,0,0,0.38694638694638694
1.2.826.0.1.3680043.10633,167,512,512,1.0,-68.0,98.0,231.099976,0,1,0,0,0,0,0,0.38927738927738925
1.2.826.0.1.3680043.10633,168,512,512,1.0,-68.0,98.0,230.599976,0,1,0,0,0,0,0,0.3916083916083916
1.2.826.0.1.3680043.10633,169,512,512,1.0,-68.0,98.0,230.099976,0,1,0,0,0,0,0,0.3939393939393939
1.2.826.0.1.3680043.10633,170,512,512,1.0,-68.0,98.0,229.599976,0,1,0,0,0,0,0,0.3962703962703963
1.2.826.0.1.3680043.10633,171,512,512,1.0,-68.0,98.0,229.099976,0,1,0,0,0,0,0,0.3986013986013986
1.2.826.0.1.3680043.10633,172,512,512,1.0,-68.0,98.0,228.599976,0,1,0,0,0,0,0,0.40093240093240096
1.2.826.0.1.3680043.10633,173,512,512,1.0,-68.0,98.0,228.099976,0,1,0,0,0,0,0,0.40326340326340326
1.2.826.0.1.3680043.10633,174,512,512,1.0,-68.0,98.0,227.599976,0,1,0,0,0,0,0,0.40559440559440557
1.2.826.0.1.3680043.10633,175,512,512,1.0,-68.0,98.0,227.099976,0,1,1,0,0,0,0,0.40792540792540793
1.2.826.0.1.3680043.10633,176,512,512,1.0,-68.0,98.0,226.599976,0,1,1,0,0,0,0,0.41025641025641024
1.2.826.0.1.3680043.10633,177,512,512,1.0,-68.0,98.0,226.099976,0,1,1,0,0,0,0,0.4125874125874126
1.2.826.0.1.3680043.10633,178,512,512,1.0,-68.0,98.0,225.599976,0,1,1,0,0,0,0,0.4149184149184149
1.2.826.0.1.3680043.10633,179,512,512,1.0,-68.0,98.0,225.099976,0,1,1,0,0,0,0,0.4172494172494173
1.2.826.0.1.3680043.10633,180,512,512,1.0,-68.0,98.0,224.599976,0,1,1,0,0,0,0,0.4195804195804196
1.2.826.0.1.3680043.10633,181,512,512,1.0,-68.0,98.0,224.099976,0,1,1,0,0,0,0,0.4219114219114219
1.2.826.0.1.3680043.10633,182,512,512,1.0,-68.0,98.0,223.599976,0,1,1,0,0,0,0,0.42424242424242425
1.2.826.0.1.3680043.10633,183,512,512,1.0,-68.0,98.0,223.099976,0,1,1,0,0,0,0,0.42657342657342656
1.2.826.0.1.3680043.10633,184,512,512,1.0,-68.0,98.0,222.599976,0,1,1,0,0,0,0,0.4289044289044289
1.2.826.0.1.3680043.10633,185,512,512,1.0,-68.0,98.0,222.099976,0,1,1,0,0,0,0,0.43123543123543123
1.2.826.0.1.3680043.10633,186,512,512,1.0,-68.0,98.0,221.599976,0,1,1,0,0,0,0,0.43356643356643354
1.2.826.0.1.3680043.10633,187,512,512,1.0,-68.0,98.0,221.099976,0,1,1,0,0,0,0,0.4358974358974359
1.2.826.0.1.3680043.10633,188,512,512,1.0,-68.0,98.0,220.599976,0,1,1,0,0,0,0,0.4382284382284382
1.2.826.0.1.3680043.10633,189,512,512,1.0,-68.0,98.0,220.099976,0,1,1,0,0,0,0,0.4405594405594406
1.2.826.0.1.3680043.10633,190,512,512,1.0,-68.0,98.0,219.599976,0,1,1,0,0,0,0,0.4428904428904429
1.2.826.0.1.3680043.10633,191,512,512,1.0,-68.0,98.0,219.099976,0,1,1,0,0,0,0,0.44522144522144524
1.2.826.0.1.3680043.10633,192,512,512,1.0,-68.0,98.0,218.599976,0,1,1,0,0,0,0,0.44755244755244755
1.2.826.0.1.3680043.10633,193,512,512,1.0,-68.0,98.0,218.099976,0,1,1,0,0,0,0,0.44988344988344986
1.2.826.0.1.3680043.10633,194,512,512,1.0,-68.0,98.0,217.599976,0,1,1,0,0,0,0,0.4522144522144522
1.2.826.0.1.3680043.10633,195,512,512,1.0,-68.0,98.0,217.099976,0,1,1,0,0,0,0,0.45454545454545453
1.2.826.0.1.3680043.10633,196,512,512,1.0,-68.0,98.0,216.599976,0,1,1,0,0,0,0,0.4568764568764569
1.2.826.0.1.3680043.10633,197,512,512,1.0,-68.0,98.0,216.099976,0,1,1,0,0,0,0,0.4592074592074592
1.2.826.0.1.3680043.10633,198,512,512,1.0,-68.0,98.0,215.599976,0,1,1,0,0,0,0,0.46153846153846156
1.2.826.0.1.3680043.10633,199,512,512,1.0,-68.0,98.0,215.099976,0,1,1,0,0,0,0,0.46386946386946387
1.2.826.0.1.3680043.10633,200,512,512,1.0,-68.0,98.0,214.599976,0,1,1,0,0,0,0,0.4662004662004662
1.2.826.0.1.3680043.10633,201,512,512,1.0,-68.0,98.0,214.099976,0,1,1,0,0,0,0,0.46853146853146854
1.2.826.0.1.3680043.10633,202,512,512,1.0,-68.0,98.0,213.599976,0,0,1,1,0,0,0,0.47086247086247085
1.2.826.0.1.3680043.10633,203,512,512,1.0,-68.0,98.0,213.099976,0,0,1,1,0,0,0,0.4731934731934732
1.2.826.0.1.3680043.10633,204,512,512,1.0,-68.0,98.0,212.599976,0,0,1,1,0,0,0,0.4755244755244755
1.2.826.0.1.3680043.10633,205,512,512,1.0,-68.0,98.0,212.099976,0,0,1,1,0,0,0,0.47785547785547783
1.2.826.0.1.3680043.10633,206,512,512,1.0,-68.0,98.0,211.599976,0,0,1,1,0,0,0,0.4801864801864802
1.2.826.0.1.3680043.10633,207,512,512,1.0,-68.0,98.0,211.099976,0,0,1,1,0,0,0,0.4825174825174825
1.2.826.0.1.3680043.10633,208,512,512,1.0,-68.0,98.0,210.599976,0,0,1,1,0,0,0,0.48484848484848486
1.2.826.0.1.3680043.10633,209,512,512,1.0,-68.0,98.0,210.099976,0,0,1,1,0,0,0,0.48717948717948717
1.2.826.0.1.3680043.10633,210,512,512,1.0,-68.0,98.0,209.599976,0,0,1,1,0,0,0,0.48951048951048953
1.2.826.0.1.3680043.10633,211,512,512,1.0,-68.0,98.0,209.099976,0,0,1,1,0,0,0,0.49184149184149184
1.2.826.0.1.3680043.10633,212,512,512,1.0,-68.0,98.0,208.599976,0,0,1,1,0,0,0,0.49417249417249415
1.2.826.0.1.3680043.10633,213,512,512,1.0,-68.0,98.0,208.099976,0,0,1,1,0,0,0,0.4965034965034965
1.2.826.0.1.3680043.10633,214,512,512,1.0,-68.0,98.0,207.599976,0,0,1,1,0,0,0,0.4988344988344988
1.2.826.0.1.3680043.10633,215,512,512,1.0,-68.0,98.0,207.099976,0,0,1,1,0,0,0,0.5011655011655012
